nome_produto,preco,preco_formatado,link_produto,nome_produto_ml,preco_ml,link_ml
"Mesas de Madeira Maciça - Cascata, Pranchão, Curvada, Redonda",0,"R$ 0,00",https://go.olx.com.br/grande-goiania-e-anapolis/moveis/mesas/mesas-de-madeira-macica-cascata-pranchao-curvada-redonda-1295758808,,271.6,
"Mesa Cascata, Mesa Deck, Mesas de Madeira Maciça",0,"R$ 0,00",https://go.olx.com.br/grande-goiania-e-anapolis/moveis/mesas/mesa-cascata-mesa-deck-mesas-de-madeira-macica-1303050496,,299.99,
Mesas de jantar                         ,0,"R$ 0,00",https://am.olx.com.br/regiao-de-manaus/moveis/mesas/mesas-de-jantar-1274245336,,209.83,
MESAS DE VIDRO TEMPERADO                ,0,"R$ 0,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/mesas-de-vidro-temperado-1338956044,,484.99,
Aluguel mesas / cadeiras dobráveis de madeira,2,"R$ 2,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/aluguel-mesas-cadeiras-dobraveis-de-madeira-1424175751,,261.11,
Aluguel de mesas e cadeiras para eventos,15,"R$ 15,00",https://pb.olx.com.br/paraiba/moveis/mesas/aluguel-de-mesas-e-cadeiras-para-eventos-1403719416,,290.77,
"MESAS INFANTIS DOBRÁVEIS - BRANCAS (50,00 CADA)",50,"R$ 50,00",https://rj.olx.com.br/norte-do-estado-do-rio/moveis/mesas/mesas-infantis-dobraveis-brancas-50-00-cada-1423983465,,171.9,
Mesas de Canto em Madeira quadrada      ,59,"R$ 59,00",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/moveis/mesas/mesas-de-canto-em-madeira-quadrada-1423961317,,299.89,
Mesas de Canto em Madeira retangular    ,69,"R$ 69,00",https://sc.olx.com.br/norte-de-santa-catarina/moveis/mesas/mesas-de-canto-em-madeira-retangular-1423960817,,229.99,
Mesas Laterais Redondas - Design Moderno,70,"R$ 70,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-laterais-redondas-design-moderno-1415089166,,299.34,
Mesas Leia o anúncio                    ,100,"R$ 100,00",https://am.olx.com.br/regiao-de-manaus/moveis/mesas/mesas-leia-o-anuncio-1424108224,,599.13,
Mesas e cadeiras de plástico            ,150,"R$ 150,00",https://go.olx.com.br/grande-goiania-e-anapolis/moveis/mesas/mesas-e-cadeiras-de-plastico-1424075980,,490.44,
Mesas de canto com tampo de vidro       ,150,"R$ 150,00",https://sp.olx.com.br/grande-campinas/moveis/mesas/mesas-de-canto-com-tampo-de-vidro-1424026465,,276.8,
PROMOÇÃO MESAS COM CADEIRAS 2XX DJ 4R- ENTREGA GRÁTIS DJ ASZ,160,"R$ 160,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/promocao-mesas-com-cadeiras-2xx-dj-4r-entrega-gratis-dj-asz-1415025461,,262.36,
Mesas e cadeiras tenho brancas e preta  também tenho uns jogos infantil,170,"R$ 170,00",https://rj.olx.com.br/norte-do-estado-do-rio/moveis/mesas/mesas-e-cadeiras-tenho-brancas-e-preta-tambem-tenho-uns-jogos-infantil-1423945874,,524.58,
Mesas de Escritório com Gaveteiro       ,180,"R$ 180,00",https://sp.olx.com.br/sao-paulo-e-regiao/moveis/mesas/mesas-de-escritorio-com-gaveteiro-1424221499,,99.0,
duas mesas tipo restaurante             ,199,"R$ 199,00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/moveis/mesas/duas-mesas-tipo-restaurante-1340346143,,238.8,
Mesas de cabeceira modernas             ,200,"R$ 200,00",https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/moveis/mesas/mesas-de-cabeceira-modernas-1424000394,,144.84,
Mesas para artesanato                   ,250,"R$ 250,00",https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/mesas/mesas-para-artesanato-1424170573,,578.94,
Mesas dobráveis Budweiser para eventos  ,250,"R$ 250,00",https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/mesas/mesas-dobraveis-budweiser-para-eventos-1424164633,,488.6,
Mesas de Canto Clássica em Madeira      ,300,"R$ 300,00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/moveis/mesas/mesas-de-canto-classica-em-madeira-1424031227,,136.0,
Mesas para máquinas de costura de todos os modelos,300,"R$ 300,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/mesas-para-maquinas-de-costura-de-todos-os-modelos-1424016912,,242.98,
"Mesas ( vendendo a unidade) Uso doméstico ( sala de jantar , cozinha, área de lazer.",350,"R$ 350,00",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/moveis/mesas/mesas-vendendo-a-unidade-uso-domestico-sala-de-jantar-cozinha-area-de-lazer-1424196329,,749.1,
"Vendo Mesas de plástico desmontável grande 6 lugares, novas",350,"R$ 350,00",https://rr.olx.com.br/roraima/moveis/mesas/vendo-mesas-de-plastico-desmontavel-grande-6-lugares-novas-1424160466,,479.24,
Duas mesas escolares com cadeiras       ,350,"R$ 350,00",https://al.olx.com.br/alagoas/moveis/mesas/duas-mesas-escolares-com-cadeiras-1424100873,,298.99,
Mesas de madeira com estrutura metálica ,350,"R$ 350,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-madeira-com-estrutura-metalica-1424047239,,260.79,
Mesa de jantar +kits com 2 mesas de apoio,350,"R$ 350,00",https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/moveis/mesas/mesa-de-jantar-kits-com-2-mesas-de-apoio-1407658418,,318.9,
Mesas Industriais inox - Ótima Qualidade!,380,"R$ 380,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/mesas-industriais-inox-otima-qualidade-1407320307,,319.34,
Mesas dobráveis de Paraju               ,380,"R$ 380,00",https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/mesas/mesas-dobraveis-de-paraju-1424032295,,419.99,
Mesas de Aço Resistentes e Duráveis Mesas de inox,380,"R$ 380,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/mesas-de-aco-resistentes-e-duraveis-mesas-de-inox-1423998494,,1741.07,
Mesas de Canto/Apoio Design Moderno - Par,380,"R$ 380,00",https://sc.olx.com.br/florianopolis-e-regiao/moveis/mesas/mesas-de-canto-apoio-design-moderno-par-1423988776,,103.0,
Mesas laterais em madeira               ,390,"R$ 390,00",https://sp.olx.com.br/sao-paulo-e-regiao/moveis/mesas/mesas-laterais-em-madeira-1394793620,,169.99,
Mesas de cabeceira em madeira           ,400,"R$ 400,00",https://es.olx.com.br/norte-do-espirito-santo/moveis/mesas/mesas-de-cabeceira-em-madeira-1424154391,,269.03,
Mesas de madeira com estrutura de ferro ,400,"R$ 400,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-madeira-com-estrutura-de-ferro-1424049870,,375.36,
Mesas de Vidro e Madeira                ,400,"R$ 400,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-vidro-e-madeira-1424048937,,176.0,
Mesas de madeira com estrutura metálica ,400,"R$ 400,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-madeira-com-estrutura-metalica-1424047535,,149.9,
Mesas de madeira com estrutura de metal ,400,"R$ 400,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-madeira-com-estrutura-de-metal-1424047407,,699.92,
"Mesas/Baias/Divisoria para atendimento, estudo",500,"R$ 500,00",https://es.olx.com.br/norte-do-espirito-santo/moveis/mesas/mesas-baias-divisoria-para-atendimento-estudo-1420635620,,509.83,
Mesas de jantares sem vidro             ,500,"R$ 500,00",https://ma.olx.com.br/regiao-de-sao-luis/moveis/mesas/mesas-de-jantares-sem-vidro-1424071977,,197.0,
Mesas de jantar 4 cadeiras novas pronta entrega,550,"R$ 550,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/mesas-de-jantar-4-cadeiras-novas-pronta-entrega-1424217498,,323.83,
mesas novas sextavadas 4 cadeiras direto da fábrica-entregamos em casa-parcelamos cartões,550,"R$ 550,00",https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/mesas/mesas-novas-sextavadas-4-cadeiras-direto-da-fabrica-entregamos-em-casa-parcelamos-cartoes-1210786088,,643.05,
Mesas  cadeiras de fábrica              ,799,"R$ 799,00",https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/moveis/mesas/mesas-cadeiras-de-fabrica-1324526891,,347.95,
Mesas de recepção com 5 compartimentos  ,1000,"R$ 1.000,00",https://pa.olx.com.br/regiao-de-belem/moveis/mesas/mesas-de-recepcao-com-5-compartimentos-1424199945,,633.02,
Mesas de escritório para montagem       ,1000,"R$ 1.000,00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/moveis/mesas/mesas-de-escritorio-para-montagem-1406174696,,299.35,
Mesas de reuniões e janta               ,1100,"R$ 1.100,00",https://am.olx.com.br/regiao-de-manaus/moveis/mesas/mesas-de-reunioes-e-janta-1316759109,,481.43,
Mesas de Canto com Tampo de Vidro       ,1100,"R$ 1.100,00",https://sp.olx.com.br/sao-paulo-e-regiao/moveis/mesas/mesas-de-canto-com-tampo-de-vidro-1424027403,,312.4,
Mesas de escritório                     ,1200,"R$ 1.200,00",https://ms.olx.com.br/mato-grosso-do-sul/moveis/mesas/mesas-de-escritorio-1424164021,,267.99,
Mesas com 6 cadeiras 160 x 80cm         ,1300,"R$ 1.300,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-com-6-cadeiras-160-x-80cm-1421574608,,152.45,
Mesas de Escritório Modelo industrial Madeira,1400,"R$ 1.400,00",https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/moveis/mesas/mesas-de-escritorio-modelo-industrial-madeira-1389709897,,499.17,
mesas novas 8 cadeiras direto da fábrica- entregamos na sua casa-parcelamos nos cartões,1400,"R$ 1.400,00",https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/mesas/mesas-novas-8-cadeiras-direto-da-fabrica-entregamos-na-sua-casa-parcelamos-nos-cartoes-1210787631,,319.53,
Mesas de centro                         ,2000,"R$ 2.000,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-de-centro-1424034287,,,
MESAS - 50 UNIDADES                     ,6500,"R$ 6.500,00",https://pe.olx.com.br/grande-recife/moveis/mesas/mesas-50-unidades-1423906345,,,
