nome_produto_ml,preco_formatado_ml,link_ml
Sem título,"R$ 299,99",
Sem título,"R$ 178,53",
Sem título,"R$ 209,83",
Sem título,"R$ 299,89",
Sem título,"R$ 261,11",
Sem título,"R$ 290,77",
Sem título,"R$ 2.820,88",
Sem título,"R$ 1.129,58",
Sem título,"R$ 229,99",
Sem título,"R$ 2.820,88",
Sem título,R$ 90,
Sem título,"R$ 219,90",
Sem título,"R$ 1.951,33",
Sem título,"R$ 376,44",
Sem título,"R$ 399,35",
Sem título,"R$ 171,90",
Sem título,"R$ 973,90",
Sem título,"R$ 535,90",
Sem título,"R$ 1.411,64",
Sem título,"R$ 1.741,48",
Sem título,R$ 459,
Sem título,"R$ 276,80",
Sem título,"R$ 1.572,90",
Sem título,"R$ 78,90",
Sem título,"R$ 1.951,96",
Sem título,"R$ 281,10",
Sem título,"R$ 199,99",
Sem título,"R$ 599,13",
Sem título,"R$ 490,44",
Sem título,"R$ 298,15",
Sem título,"R$ 1.149,44",
Sem título,R$ 99,
Sem título,"R$ 238,80",
Sem título,"R$ 2.699,51",
Sem título,"R$ 488,60",
Sem título,"R$ 1.749,63",
Sem título,"R$ 509,83",
Sem título,"R$ 565,90",
Sem título,"R$ 749,10",
Sem título,"R$ 499,44",
Sem título,R$ 159,
Sem título,"R$ 1.951,33",
Sem título,R$ 103,
Sem título,"R$ 1.562,17",
Sem título,R$ 2.037,
Sem título,"R$ 1.117,99",
Sem título,"R$ 611,75",
Sem título,"R$ 1.550,25",
Sem título,"R$ 611,75",
Sem título,"R$ 887,78",
