nome_produto,preco_formatado,link_produto
Mesas com 6 cadeiras 160 x 80cm         ,"R$ 1.300,00",https://se.olx.com.br/sergipe/moveis/mesas/mesas-com-6-cadeiras-160-x-80cm-1421574608
Aluguel de mesas e cadeiras para eventos,"R$ 15,00",https://pb.olx.com.br/paraiba/moveis/mesas/aluguel-de-mesas-e-cadeiras-para-eventos-1403719416
"Mesas/Baias/Divisoria para atendimento, estudo","R$ 500,00",https://es.olx.com.br/norte-do-espirito-santo/moveis/mesas/mesas-baias-divisoria-para-atendimento-estudo-1420635620
MESAS - 50 UNIDADES                     ,"R$ 6.500,00",https://pe.olx.com.br/grande-recife/moveis/mesas/mesas-50-unidades-1423906345
Mesa de Centro - Conjunto com 2 mesas - Tampo de vidro,"R$ 1.200,00",https://pa.olx.com.br/regiao-de-belem/moveis/mesas/mesa-de-centro-conjunto-com-2-mesas-tampo-de-vidro-1424234916
Mesas de escritório amadeiradas         ,"R$ 2.000,00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/moveis/mesas/mesas-de-escritorio-amadeiradas-1424234890
Mesas de madeira para diversos ambientes,"R$ 150,00",https://sp.olx.com.br/grande-campinas/moveis/mesas/mesas-de-madeira-para-diversos-ambientes-1406893230
"Mesas em L sem gaveta direto dá fábrica,e aqui na perfil móveis","R$ 400,00",https://go.olx.com.br/grande-goiania-e-anapolis/moveis/mesas/mesas-em-l-sem-gaveta-direto-da-fabrica-e-aqui-na-perfil-moveis-1332580667
Mesas e cadeiras de plástico empilháveis,"R$ 300,00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/moveis/mesas/mesas-e-cadeiras-de-plastico-empilhaveis-1424223062
"Mesas de Madeira Maciça - Cascata, Pranchão, Curvada, Redonda","R$ 0,00",https://go.olx.com.br/grande-goiania-e-anapolis/moveis/mesas/mesas-de-madeira-macica-cascata-pranchao-curvada-redonda-1295758808
"Mesa Cascata, Mesa Deck, Mesas de Madeira Maciça","R$ 0,00",https://go.olx.com.br/grande-goiania-e-anapolis/moveis/mesas/mesa-cascata-mesa-deck-mesas-de-madeira-macica-1303050496
Mesas de Escritório com Gaveteiro       ,"R$ 180,00",https://sp.olx.com.br/sao-paulo-e-regiao/moveis/mesas/mesas-de-escritorio-com-gaveteiro-1424221499
Mesas de jantar 4 cadeiras novas pronta entrega,"R$ 550,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/mesas-de-jantar-4-cadeiras-novas-pronta-entrega-1424217498
Mesas de recepção com 5 compartimentos  ,"R$ 1.000,00",https://pa.olx.com.br/regiao-de-belem/moveis/mesas/mesas-de-recepcao-com-5-compartimentos-1424199945
"Mesas ( vendendo a unidade) Uso doméstico ( sala de jantar , cozinha, área de lazer.","R$ 350,00",https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/moveis/mesas/mesas-vendendo-a-unidade-uso-domestico-sala-de-jantar-cozinha-area-de-lazer-1424196329
Aluguel mesas / cadeiras dobráveis de madeira,"R$ 2,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/aluguel-mesas-cadeiras-dobraveis-de-madeira-1424175751
Mesas de escritório para montagem       ,"R$ 1.000,00",https://rj.olx.com.br/rio-de-janeiro-e-regiao/moveis/mesas/mesas-de-escritorio-para-montagem-1406174696
Mesas para artesanato                   ,"R$ 250,00",https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/mesas/mesas-para-artesanato-1424170573
Mesas dobráveis Budweiser para eventos  ,"R$ 250,00",https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/mesas/mesas-dobraveis-budweiser-para-eventos-1424164633
Mesas de escritório                     ,"R$ 1.200,00",https://ms.olx.com.br/mato-grosso-do-sul/moveis/mesas/mesas-de-escritorio-1424164021
"Vendo Mesas de plástico desmontável grande 6 lugares, novas","R$ 350,00",https://rr.olx.com.br/roraima/moveis/mesas/vendo-mesas-de-plastico-desmontavel-grande-6-lugares-novas-1424160466
Mesas de Escritório Modelo industrial Madeira,"R$ 1.400,00",https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/moveis/mesas/mesas-de-escritorio-modelo-industrial-madeira-1389709897
Mesas de cabeceira em madeira           ,"R$ 400,00",https://es.olx.com.br/norte-do-espirito-santo/moveis/mesas/mesas-de-cabeceira-em-madeira-1424154391
Mesas de jantar                         ,"R$ 0,00",https://am.olx.com.br/regiao-de-manaus/moveis/mesas/mesas-de-jantar-1274245336
Mesas Leia o anúncio                    ,"R$ 100,00",https://am.olx.com.br/regiao-de-manaus/moveis/mesas/mesas-leia-o-anuncio-1424108224
MESAS DE VIDRO TEMPERADO                ,"R$ 0,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/mesas-de-vidro-temperado-1338956044
Mesas laterais em madeira               ,"R$ 390,00",https://sp.olx.com.br/sao-paulo-e-regiao/moveis/mesas/mesas-laterais-em-madeira-1394793620
Duas mesas escolares com cadeiras       ,"R$ 350,00",https://al.olx.com.br/alagoas/moveis/mesas/duas-mesas-escolares-com-cadeiras-1424100873
Mesas de reuniões e janta               ,"R$ 1.100,00",https://am.olx.com.br/regiao-de-manaus/moveis/mesas/mesas-de-reunioes-e-janta-1316759109
mesas novas 8 cadeiras direto da fábrica- entregamos na sua casa-parcelamos nos cartões,"R$ 1.400,00",https://mg.olx.com.br/belo-horizonte-e-regiao/moveis/mesas/mesas-novas-8-cadeiras-direto-da-fabrica-entregamos-na-sua-casa-parcelamos-nos-cartoes-1210787631
PROMOÇÃO MESAS COM CADEIRAS 2XX DJ 4R- ENTREGA GRÁTIS DJ ASZ,"R$ 160,00",https://ce.olx.com.br/fortaleza-e-regiao/moveis/mesas/promocao-mesas-com-cadeiras-2xx-dj-4r-entrega-gratis-dj-asz-1415025461
